,release_speed,release_pos_x,release_pos_z,batter,pitcher,zone,hit_location,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,opp_hand,x0_CH,x0_CU,x0_EP,x0_FC,x0_FF,x0_FS,x0_FT,x0_KC,x0_SI,x0_SL,HitClf
3546,85.2,-2.23,6.56,608365,606149,14.0,2.0,1,2,0.5,-0.25,0.98,0.44,2,8,,,6.395177505870791,-123.59314243018,-7.38886334934571,3.6884854229371697,23.1537907368707,-33.5471349126783,3.47,1.64,,,,83.0,2353.0,4.9,566596,55.6,,,0.0,1.0,0.0,0.0,,63,5,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3547,94.8,-2.06,6.63,518792,606149,5.0,8.0,2,2,-0.74,1.75,-0.25,2.92,1,8,110.36,47.29,6.19738373012748,-137.710157804686,-7.69481790222182,-10.4492050978569,29.0413760138447,-9.13217051843663,3.52,1.69,358.0,93.5,27.0,93.5,2417.0,5.5,566596,55.0,0.24,0.353,0.0,1.0,0.0,0.0,3.0,62,5,5,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3548,94.0,-2.07,6.62,575929,606149,8.0,2.0,1,2,-0.76,1.63,0.16,1.64,0,8,,,7.24921866473329,-136.284594670943,-10.466794495825301,-10.6840031761887,27.4037336526908,-10.5302131970977,3.25,1.53,,,,92.6,2376.0,5.5,566596,55.04,,,0.0,1.0,0.0,0.0,,61,4,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3549,82.3,2.35,5.51,519203,453192,13.0,2.0,1,2,-0.88,-0.32,-0.81,1.09,2,7,,,-5.47739261687889,-119.826368933011,-2.956508508413,-7.59397247342724,20.5142241457955,-34.93502148608761,3.53,1.72,,,,82.7,2607.0,6.3,566596,54.2,,,0.0,1.0,0.0,0.0,,57,5,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3550,93.3,1.98,5.83,592178,453192,3.0,1.0,2,2,0.74,1.16,0.31,2.67,1,7,124.72,172.03,-5.982918145180651,-135.90311381403,-5.0705232380060705,10.504067819721401,25.426278887083804,-16.755272971631502,3.11,1.53,91.0,103.1,4.0,94.4,2133.0,6.6,566596,53.93,0.53,0.47700000000000004,0.0,1.0,0.0,0.0,4.0,56,6,5,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3551,82.0,2.39,5.38,656941,453192,9.0,2.0,2,2,-0.92,-0.29,0.58,1.81,0,7,,,-2.3249343220125698,-119.43686418842199,-1.0342234540397,-8.435517216793151,20.2542627655486,-34.985598039994805,3.57,1.59,,,,82.1,2538.0,6.0,566596,54.46,,,0.0,1.0,0.0,0.0,,55,5,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3552,90.7,1.83,6.08,518614,453192,3.0,6.0,0,1,0.59,1.24,0.73,3.07,0,7,128.16,184.83,-4.06114393155002,-132.156190019065,-4.33583318223727,7.84971392063482,26.907648863623198,-16.8402880378409,3.22,1.52,46.0,,,91.5,2092.0,6.6,566596,53.91,,,0.9,,1.0,0.0,,54,2,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
3553,92.6,-1.86,5.75,623520,605154,6.0,8.0,3,2,-0.61,1.49,0.45,2.33,0,7,172.7,53.98,7.323108551729361,-134.739319524098,-6.309833800245,-9.1526030835117,29.0312025023038,-12.522848483733599,3.25,1.55,360.0,108.1,17.0,93.5,2381.0,6.8,566596,53.7,0.685,0.838,1.25,1.0,1.0,1.0,6.0,52,8,5,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
3554,93.9,-1.84,5.84,608365,605154,5.0,7.0,1,1,-0.74,1.61,0.0,2.41,0,7,94.75,104.98,6.4052134061607395,-136.519254666114,-6.773900754810501,-10.637200897596301,28.8601251424931,-10.6535697023214,3.47,1.64,149.0,105.8,7.0,94.4,2318.0,6.5,566596,53.98,0.63,0.578,0.9,1.0,1.0,0.0,4.0,51,3,5,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
3555,82.9,-2.33,6.09,518792,607231,13.0,2.0,3,2,-0.74,0.53,-0.44,1.51,2,6,,,5.69920466118005,-120.68817455034599,-5.08822236371196,-8.12947394951733,19.4202721052983,-26.3852046308851,3.52,1.69,,,,83.1,1585.0,6.0,566596,54.5,,,0.0,1.0,0.0,0.0,,43,7,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3556,83.8,-2.57,5.95,575929,607231,13.0,2.0,3,2,-1.01,0.58,-0.84,1.06,1,6,,,5.972813913675081,-121.91218284388901,-6.09070230770376,-11.1731426539783,21.813890832017304,-25.461349663889603,3.13,1.45,,,,84.0,1563.0,6.3,566596,54.24,,,0.0,1.0,0.0,0.0,,42,6,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3557,90.4,-2.35,6.16,592178,607231,14.0,1.0,0,1,0.18,0.76,0.84,1.21,0,6,127.12,181.71,7.54015185793442,-131.393957853017,-8.07146052978676,0.762190929727381,22.818491394491897,-22.0816300524954,3.11,1.53,5.0,62.8,-22.0,90.9,2704.0,6.3,566596,54.24,0.048,0.043,0.0,1.0,0.0,0.0,2.0,40,2,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3558,93.9,-2.81,5.22,656941,656427,11.0,7.0,0,2,-0.62,1.09,-0.33,3.95,2,5,68.16,62.6,7.88475614316133,-136.732516950857,-0.0553244941818493,-9.487657295000869,27.2624184883,-18.4147030607622,3.55,1.63,347.0,96.9,38.0,95.0,2295.0,6.7,566596,53.81,0.145,0.262,0.0,1.0,0.0,0.0,3.0,36,3,2,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3559,94.4,-2.75,5.1,500779,656427,2.0,2.0,0,2,-0.35,1.14,0.11,3.27,1,5,,,8.26410478824375,-137.435327934305,-1.67702452422735,-6.12616852217058,27.6863781911457,-17.435767271442998,3.38,1.6,,,,95.2,2131.0,6.5,566596,53.98,,,0.0,1.0,0.0,0.0,,35,4,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3560,90.3,-2.8,5.02,546991,656427,11.0,6.0,1,2,-0.84,0.66,-0.83,2.83,0,5,108.97,152.22,6.73541290159003,-131.523006045931,-1.01671425241991,-11.142697419022,22.710423279297103,-24.327026182168897,3.3,1.52,67.0,91.5,2.0,91.6,1868.0,6.6,566596,53.92,0.36,0.324,0.0,1.0,0.0,0.0,2.0,34,4,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
